event,mass 1,error up,error down," mass 2",error up,error down
GW191103 012549,11.8,6.2,2.2,7.9,1.7,2.4
GW191105 143521,10.7,3.7,1.6,7.7,1.4,1.9
GW191109 010717,65,11,11,47,15,13
GW191113 071753,29,12,14,5.9,4.4,1.3
GW191126 115259,12.1,5.5,2.2,8.3,1.9,2.4
GW191127 050227,53,47,20,24,17,14
GW191129 134029,10.7,4.1,2.1,6.7,1.5,1.7
GW191204 110529,27.3,11.0,6.0,19.3,5.6,6
GW191204 171526,11.9,3.3,1.8,8.2,1.4,1.6
GW191215 223052,24.9,7.1,4.1,18.1,3.8,4.1
GW191216 213338,12.1,4.6,2.3,7.7,1.6,1.9
GW191219 163120,31.1,2.2,2.8,1.17,0.07,0.06
GW191222 033537,45.1,10.9,8.0,34.7,9.3,10.5
GW191230 180458,49.4,14.0,9.6,37,11,12
GW200105 162426,9.0,1.7,1.7,1.91,0.33,0.24
GW200112 155838,35.6,6.7,4.5,28.3,4.4,5.9
GW200115 042309,5.9,2.0,2.5,1.44,0.85,0.89
GW200128 022011,42.2,11.6,8.1,32.6,9.5,9.2
GW200129 065458,34.5,9.9,3.2,28.9,3.4,9.3
GW200202 154313,10.1,3.5,1.4,7.3,1.1,1.7
GW200208 130117,37.8,9.2,6.2,27.4,6.1,7.4
GW200208 222617,51,104,30,12.3,9.0,5.7
GW200209 085452,35.6,10.5,6.8,27.1,7.8,7.8
GW200210 092254,24.1,7.5,4.6,2.83,0.47,0.42
GW200216 220804,51,22,13,30,14,16
GW200219 094415,37.5,10.1,6.9,27.9,7.4,8.4
GW200220 061928,87,40,23,61,26,25
GW200220 124850,38.9,14.1,8.6,27.9,9.2,9.0
GW200224 222234,40.0,6.9,4.5,32.5,5.0,7.2
GW200225 060421,19.3,5.0,3.0,14.0,2.8,3.5
GW200302 015811,37.8,8.7,8.5,20.0,8.1,5.7
GW200306 093714,28.3,17.1,7.7,14.8,6.5,6.4
GW200308 173609,36.4,11.2,9.6,13.8,7.2,3.3
GW200311 115853,34.2,6.4,3.8,27.7,4.1,5.9
GW200316 215756,13.1,10.2,2.9,7.8,1.9,2.9
GW200322 091133,34,48,18,14.0,16.8,8.7